trade_date,rewards
2011-09-26,"tf.Tensor(0.060798764, shape=(), dtype=float32)"
2011-09-27,"tf.Tensor(0.062087417, shape=(), dtype=float32)"
2011-09-28,"tf.Tensor(0.060932994, shape=(), dtype=float32)"
2011-09-29,"tf.Tensor(0.06015241, shape=(), dtype=float32)"
2011-09-30,"tf.Tensor(0.05913198, shape=(), dtype=float32)"
2011-10-03,"tf.Tensor(0.057821512, shape=(), dtype=float32)"
2011-10-04,"tf.Tensor(0.05758357, shape=(), dtype=float32)"
2011-10-05,"tf.Tensor(0.057869792, shape=(), dtype=float32)"
2011-10-06,"tf.Tensor(0.059165597, shape=(), dtype=float32)"
2011-10-07,"tf.Tensor(0.059539914, shape=(), dtype=float32)"
2011-10-08,"tf.Tensor(0.059533477, shape=(), dtype=float32)"
2011-10-09,"tf.Tensor(0.059547424, shape=(), dtype=float32)"
2011-10-10,"tf.Tensor(0.059785724, shape=(), dtype=float32)"
2011-10-11,"tf.Tensor(0.060147405, shape=(), dtype=float32)"
2011-10-12,"tf.Tensor(0.062252402, shape=(), dtype=float32)"
2011-10-13,"tf.Tensor(0.06306136, shape=(), dtype=float32)"
2011-10-14,"tf.Tensor(0.062945366, shape=(), dtype=float32)"
2011-10-17,"tf.Tensor(0.0631423, shape=(), dtype=float32)"
2011-10-18,"tf.Tensor(0.061311245, shape=(), dtype=float32)"
2011-10-19,"tf.Tensor(0.06107855, shape=(), dtype=float32)"
2011-10-20,"tf.Tensor(0.0595448, shape=(), dtype=float32)"
2011-10-21,"tf.Tensor(0.05937004, shape=(), dtype=float32)"
2011-10-24,"tf.Tensor(0.061497092, shape=(), dtype=float32)"
2011-10-25,"tf.Tensor(0.062415242, shape=(), dtype=float32)"
2011-10-26,"tf.Tensor(0.06317723, shape=(), dtype=float32)"
2011-10-27,"tf.Tensor(0.06445074, shape=(), dtype=float32)"
2011-10-28,"tf.Tensor(0.065757155, shape=(), dtype=float32)"
2011-10-31,"tf.Tensor(0.065146804, shape=(), dtype=float32)"
2011-11-01,"tf.Tensor(0.06424248, shape=(), dtype=float32)"
2011-11-02,"tf.Tensor(0.065711975, shape=(), dtype=float32)"
2011-11-03,"tf.Tensor(0.06574929, shape=(), dtype=float32)"
2011-11-04,"tf.Tensor(0.06659186, shape=(), dtype=float32)"
2011-11-07,"tf.Tensor(0.06615913, shape=(), dtype=float32)"
2011-11-08,"tf.Tensor(0.06603634, shape=(), dtype=float32)"
2011-11-09,"tf.Tensor(0.06632447, shape=(), dtype=float32)"
