trade_date,rewards
2011-05-06,"tf.Tensor(1.2260026, shape=(), dtype=float32)"
2011-05-09,"tf.Tensor(1.224868, shape=(), dtype=float32)"
2011-05-10,"tf.Tensor(1.2237272, shape=(), dtype=float32)"
2011-05-11,"tf.Tensor(1.2225804, shape=(), dtype=float32)"
2011-05-12,"tf.Tensor(1.221437, shape=(), dtype=float32)"
2011-05-13,"tf.Tensor(1.2203054, shape=(), dtype=float32)"
2011-05-16,"tf.Tensor(1.219168, shape=(), dtype=float32)"
2011-05-17,"tf.Tensor(1.2180376, shape=(), dtype=float32)"
2011-05-18,"tf.Tensor(1.2169073, shape=(), dtype=float32)"
2011-05-19,"tf.Tensor(1.215769, shape=(), dtype=float32)"
2011-05-20,"tf.Tensor(1.2146325, shape=(), dtype=float32)"
2011-05-23,"tf.Tensor(1.2134981, shape=(), dtype=float32)"
2011-05-24,"tf.Tensor(1.2123952, shape=(), dtype=float32)"
2011-05-25,"tf.Tensor(1.2112938, shape=(), dtype=float32)"
2011-05-26,"tf.Tensor(1.2102013, shape=(), dtype=float32)"
2011-05-27,"tf.Tensor(1.2091115, shape=(), dtype=float32)"
2011-05-30,"tf.Tensor(1.2080313, shape=(), dtype=float32)"
2011-05-31,"tf.Tensor(1.2069559, shape=(), dtype=float32)"
2011-06-01,"tf.Tensor(1.2058616, shape=(), dtype=float32)"
2011-06-02,"tf.Tensor(1.204768, shape=(), dtype=float32)"
2011-06-03,"tf.Tensor(1.2036884, shape=(), dtype=float32)"
2011-06-06,"tf.Tensor(1.2026031, shape=(), dtype=float32)"
2011-06-07,"tf.Tensor(1.2015197, shape=(), dtype=float32)"
2011-06-08,"tf.Tensor(1.200431, shape=(), dtype=float32)"
2011-06-09,"tf.Tensor(1.1993433, shape=(), dtype=float32)"
2011-06-10,"tf.Tensor(1.1982696, shape=(), dtype=float32)"
2011-06-13,"tf.Tensor(1.1971989, shape=(), dtype=float32)"
2011-06-14,"tf.Tensor(1.1961288, shape=(), dtype=float32)"
2011-06-15,"tf.Tensor(1.1950467, shape=(), dtype=float32)"
2011-06-16,"tf.Tensor(1.1939769, shape=(), dtype=float32)"
2011-06-17,"tf.Tensor(1.1929235, shape=(), dtype=float32)"
2011-06-20,"tf.Tensor(1.1918792, shape=(), dtype=float32)"
2011-06-21,"tf.Tensor(1.190842, shape=(), dtype=float32)"
2011-06-22,"tf.Tensor(1.1897913, shape=(), dtype=float32)"
2011-06-23,"tf.Tensor(1.1887423, shape=(), dtype=float32)"
2011-06-24,"tf.Tensor(1.1876812, shape=(), dtype=float32)"
2011-06-27,"tf.Tensor(1.1866009, shape=(), dtype=float32)"
2011-06-28,"tf.Tensor(1.1855135, shape=(), dtype=float32)"
2011-06-29,"tf.Tensor(1.184422, shape=(), dtype=float32)"
2011-06-30,"tf.Tensor(1.1833383, shape=(), dtype=float32)"
2011-07-01,"tf.Tensor(1.1822385, shape=(), dtype=float32)"
2011-07-04,"tf.Tensor(1.1811337, shape=(), dtype=float32)"
2011-07-05,"tf.Tensor(1.1800085, shape=(), dtype=float32)"
2011-07-06,"tf.Tensor(1.1788813, shape=(), dtype=float32)"
2011-07-07,"tf.Tensor(1.1777551, shape=(), dtype=float32)"
2011-07-08,"tf.Tensor(1.176628, shape=(), dtype=float32)"
2011-07-11,"tf.Tensor(1.1755002, shape=(), dtype=float32)"
2011-07-12,"tf.Tensor(1.1743747, shape=(), dtype=float32)"
2011-07-13,"tf.Tensor(1.1732677, shape=(), dtype=float32)"
2011-07-14,"tf.Tensor(1.1721451, shape=(), dtype=float32)"
2011-07-15,"tf.Tensor(1.1710198, shape=(), dtype=float32)"
2011-07-18,"tf.Tensor(1.16989, shape=(), dtype=float32)"
2011-07-19,"tf.Tensor(1.1687624, shape=(), dtype=float32)"
2011-07-20,"tf.Tensor(1.1676388, shape=(), dtype=float32)"
2011-07-21,"tf.Tensor(1.1665155, shape=(), dtype=float32)"
2011-07-22,"tf.Tensor(1.1653988, shape=(), dtype=float32)"
2011-07-25,"tf.Tensor(1.1642755, shape=(), dtype=float32)"
2011-07-26,"tf.Tensor(1.1631811, shape=(), dtype=float32)"
2011-07-27,"tf.Tensor(1.1620822, shape=(), dtype=float32)"
2011-07-28,"tf.Tensor(1.1609781, shape=(), dtype=float32)"
2011-07-29,"tf.Tensor(1.1598784, shape=(), dtype=float32)"
2011-08-01,"tf.Tensor(1.158786, shape=(), dtype=float32)"
2011-08-02,"tf.Tensor(1.1576911, shape=(), dtype=float32)"
2011-08-03,"tf.Tensor(1.1566082, shape=(), dtype=float32)"
2011-08-04,"tf.Tensor(1.1555266, shape=(), dtype=float32)"
2011-08-05,"tf.Tensor(1.1544517, shape=(), dtype=float32)"
2011-08-08,"tf.Tensor(1.1533989, shape=(), dtype=float32)"
2011-08-09,"tf.Tensor(1.1523908, shape=(), dtype=float32)"
2011-08-10,"tf.Tensor(1.1513847, shape=(), dtype=float32)"
2011-08-11,"tf.Tensor(1.1503731, shape=(), dtype=float32)"
